iter	Passed	Remaining
179	354	1613
180	355	1606
181	356	1601
182	357	1595
183	358	1590
184	359	1585
185	361	1580
186	362	1574
187	363	1569
188	364	1564
189	365	1559
190	367	1554
191	367	1548
192	369	1542
193	370	1538
194	371	1533
195	372	1528
196	374	1525
197	375	1521
198	377	1517
199	378	1513
200	379	1508
201	380	1504
202	382	1500
203	383	1496
204	385	1493
205	386	1488
206	387	1484
207	388	1479
208	389	1475
209	391	1471
210	392	1466
211	393	1462
212	394	1459
213	396	1455
214	397	1451
215	398	1447
216	399	1443
217	400	1438
218	402	1433
219	402	1428
220	404	1425
221	405	1421
222	406	1416
223	407	1412
224	408	1408
225	410	1404
226	411	1400
227	412	1395
228	413	1391
229	414	1387
230	415	1383
231	416	1380
232	418	1377
233	419	1373
234	420	1369
235	421	1365
236	422	1360
237	423	1356
238	424	1352
239	425	1348
240	426	1344
241	427	1339
242	428	1335
243	429	1331
244	430	1327
245	431	1323
246	433	1320
247	434	1317
248	435	1313
249	436	1309
250	437	1305
251	438	1301
252	439	1297
253	440	1293
254	441	1290
255	442	1285
256	443	1282
257	444	1278
258	445	1274
259	446	1270
260	447	1267
261	448	1264
262	449	1260
263	450	1256
264	451	1252
265	453	1250
266	454	1247
267	455	1243
268	456	1241
269	457	1238
270	459	1235
271	460	1232
272	461	1228
273	462	1226
274	464	1223
275	465	1219
276	466	1217
277	467	1214
278	468	1211
279	469	1208
280	470	1204
281	471	1201
282	472	1198
283	473	1194
284	474	1191
285	476	1188
286	477	1186
287	478	1183
288	479	1180
289	480	1176
290	481	1173
291	482	1170
292	483	1167
293	484	1163
294	485	1160
295	486	1157
296	487	1154
297	488	1151
298	489	1148
299	490	1144
300	492	1142
301	493	1140
302	494	1137
303	495	1134
304	496	1131
305	497	1129
306	498	1126
307	499	1123
308	501	1120
309	502	1117
310	503	1114
311	503	1111
312	504	1108
313	505	1105
314	507	1103
315	508	1101
316	509	1098
317	510	1095
318	511	1092
319	512	1089
320	513	1086
321	514	1083
322	515	1080
323	516	1078
324	517	1075
325	518	1072
326	519	1069
327	520	1066
328	522	1065
329	523	1062
330	524	1060
331	525	1057
332	526	1054
333	527	1052
334	528	1049
335	529	1046
336	530	1044
337	531	1041
338	532	1038
339	533	1035
340	534	1033
341	535	1030
342	536	1028
343	537	1025
344	539	1023
345	540	1020
346	541	1018
347	542	1016
348	543	1013
349	544	1010
350	545	1008
351	546	1005
352	547	1002
353	548	1000
354	549	997
355	550	995
356	551	993
357	552	991
358	554	989
359	555	986
360	556	984
361	557	981
362	558	979
363	559	977
364	560	974
365	561	972
366	562	969
367	563	967
368	564	964
369	565	962
370	566	961
371	567	958
372	569	956
373	570	954
374	571	952
375	572	949
376	573	947
377	574	945
378	575	942
379	576	940
380	577	937
381	578	935
382	579	933
383	580	931
384	581	929
385	582	927
386	583	924
387	584	922
388	585	920
389	586	918
390	587	915
391	588	913
392	589	911
393	590	908
394	591	906
395	592	904
396	593	901
397	595	900
398	596	898
399	597	895
400	598	893
401	599	891
402	600	889
403	601	887
404	602	884
405	603	882
406	604	880
407	605	878
408	606	876
409	607	873
410	608	871
411	609	869
412	610	867
413	611	866
414	612	864
415	613	861
416	614	859
417	615	857
418	616	855
419	617	853
420	618	851
421	619	848
422	620	846
423	621	844
424	622	842
425	623	840
426	625	839
427	626	837
428	627	835
429	628	833
430	629	831
431	630	829
432	631	827
433	632	825
434	633	823
435	634	820
436	635	818
437	636	816
438	637	814
439	638	812
440	640	811
441	641	809
442	642	807
443	643	805
444	644	803
445	645	801
446	646	799
447	647	798
448	649	796
449	650	794
450	651	792
451	652	790
452	653	788
453	654	787
454	655	785
455	657	783
456	658	781
457	659	779
458	660	778
459	661	776
460	662	774
461	663	772
462	664	770
463	665	769
464	667	767
465	668	765
466	669	764
467	671	763
468	672	761
469	674	760
470	675	758
471	676	756
